Expression,Reading,Meaning,Level,Frequency,Sentence,Translation,Episodes
時速,じそく,1. speed (per hour),N2,2,早いときは<b>時速</b>100キロを,100km/h when it's fast,"#01 PART 熱い夜に雪が降る.ja, #10 PART 言葉のいらないDAP.ja"
作れる,作れる,1. I can make it (Auto-translated),Unlabeled,2,えっ　自分で<b>作れる</b>もんなの？,"Eh, can you make it yourself?","#01 PART 熱い夜に雪が降る.ja, #02 PART はじめてのサイコー！.ja"
おかえり,おかえり,1. return<br>2. welcome home,Unlabeled,2,<b>おかえり</b>　オムレツでよかった？,Welcome back. Was the omelet okay?,"#01 PART 熱い夜に雪が降る.ja, #10 PART 言葉のいらないDAP.ja"
オムレツ,オムレツ,"1. omelette, omelet",Unlabeled,2,おかえり　<b>オムレツ</b>でよかった？,Welcome back. Was the omelet okay?,#01 PART 熱い夜に雪が降る.ja
書,ふみ,"1. letter, writings",Unlabeled,2,履歴<b>書</b>だけで？,Just a resume?,"#01 PART 熱い夜に雪が降る.ja, #02 PART はじめてのサイコー！.ja"
感想,かんそう,"1. impressions, thoughts, feelings, reactions",N2,2,ど～だ？　初めての<b>感想</b>は,What is it? My first impressions are,"#01 PART 熱い夜に雪が降る.ja, #02 PART はじめてのサイコー！.ja"
待ちわびる,まちわびる,"1. to be tired of waiting, to wait impatiently",Unlabeled,2,<b>待ちわび</b>たぜ　俺のニューデッキ！,I've been waiting for it! My new deck!,"#01 PART 熱い夜に雪が降る.ja, #12 PART 俺たちの無限大!.ja"
ニュー,ニュー,1. new,N1,2,待ちわびたぜ　俺の<b>ニュー</b>デッキ！,I've been waiting for it! My new deck!,"#01 PART 熱い夜に雪が降る.ja, #07 PART つりあわねーんだよ.ja"
調整,ちょうせい,"1. adjustment, regulation, coordination, reconciliation, tuning, fixing, tailoring",N2,2,プロに<b>調整</b>を頼んだんだ,I asked a professional to adjust it.,"#01 PART 熱い夜に雪が降る.ja, #03 PART 望まない勇者.ja"
とても,とても,"1. very, awfully, exceedingly<br>2. (not) at all, by no means, simply (cannot)",N5,2,愛抱夢に勝つなんて<b>とても</b>…》,愛抱夢に勝つなんてとても…》,"#01 PART 熱い夜に雪が降る.ja, #04 PART 愛のマタドール、愛抱夢.ja"
不能,ふのう,"1. impossible, incapable (of doing), unable (to do)<br>2. incompetence, inability<br>3. impotence<br>4. having no solution (of an equation)",Unlabeled,2,この腕を再起<b>不能</b>にしてやるのも,I'll make this arm unable to recover,"#01 PART 熱い夜に雪が降る.ja, #12 PART 俺たちの無限大!.ja"
外れる,はずれる,"1. to be disconnected, to get out of place, to be off, to be out (e.g. of gear)<br>2. to miss the mark, to get it wrong (e.g. guess, expectation), to draw a blank (e.g. lottery)<br>3. to be removed, to be excluded<br>4. to be contrary to, to go against",N2,2,足から<b>外れ</b>て危ないだろ,It's dangerous if it falls off your feet.,"#01 PART 熱い夜に雪が降る.ja, #02 PART はじめてのサイコー！.ja"
骨折,こっせつ,1. bone fracture,N3,2,<b>骨折</b>とかじゃ済まね～ぞ！,A broken bone is not enough!,"#01 PART 熱い夜に雪が降る.ja, #02 PART はじめてのサイコー！.ja"
ちょい,ちょい,1. heirship,Unlabeled,2,<b>ちょい</b>とコケれば,If it gets loose a little,"#01 PART 熱い夜に雪が降る.ja, #08 PART 宿命のトーナメント!.ja"
警戒,けいかい,"1. vigilance, caution, alertness, precaution, being on guard",N1,2,ちょいと<b>警戒</b>したが…》,"I was a little cautious, but…》","#01 PART 熱い夜に雪が降る.ja, #06 PART 湯けむりミステリースケート？!.ja"
真面目,しんめんもく,"1. one's true character, one's true self, one's true worth<br>2. serious, earnest",N3,2,≪<b>真面目</b>にやれ～,≪Do it seriously~,"#01 PART 熱い夜に雪が降る.ja, #06 PART 湯けむりミステリースケート？!.ja"
なんとなく,なんとなく,"1. somehow or other, for some reason or another, without knowing why",N2,2,<b>なんとなく</b>？,Somehow?,"#01 PART 熱い夜に雪が降る.ja, #04 PART 愛のマタドール、愛抱夢.ja"
先回り,さきまわり,"1. going on ahead, forestalling, anticipating, arrival before another",Unlabeled,2,<b>先回り</b>だ　おっさん！,"You're ahead of the curve, man!","#01 PART 熱い夜に雪が降る.ja, #03 PART 望まない勇者.ja"
チッ,チェ,"1. tsk, tut, shoot, dang<br>2. chirp",Unlabeled,2,<b>チッ</b>　遊びすぎたか,"Tsk, did you play too much?","#01 PART 熱い夜に雪が降る.ja, #10 PART 言葉のいらないDAP.ja"
いつの間に,いつのまに,"1. when, at what point",Unlabeled,2,なっ！　<b>いつの間に</b>!?,What! When did it happen!?,"#01 PART 熱い夜に雪が降る.ja, #07 PART つりあわねーんだよ.ja"
タイヤ,タイヤ,"1. tire, tyre",N1,2,車の<b>タイヤ</b>みたいに溝があるだろ,It has grooves like a car tire.,"#01 PART 熱い夜に雪が降る.ja, #11 PART キング VS ザコ.ja"
体重,たいじゅう,1. (body) weight,Unlabeled,2,でも　<b>体重</b>のかけ方を直せば,But if you correct the way you put your weight on,"#01 PART 熱い夜に雪が降る.ja, #03 PART 望まない勇者.ja"
位置,いち,"1. place, situation, position, location",N3,2,元の<b>位置</b>に戻す,return to original position,"#01 PART 熱い夜に雪が降る.ja, #03 PART 望まない勇者.ja"
固定,こてい,"1. fixing (in place), being fixed (in place), securing, anchoring, fastening down<br>2. fixing (e.g. salary, capital), keeping the same<br>3. fixation (histology)<br>4. user name (on an online forum like 2ch where the majority of users post anonymously)<br>5. user of an online handle (instead of posting anonymously)",N1,2,あの位置で足を<b>固定</b>したこと…,Having my feet fixed in that position...,"#01 PART 熱い夜に雪が降る.ja, #02 PART はじめてのサイコー！.ja"
そこで,そこで,"1. so, accordingly, now, then, thereupon, therefore",N3,2,<b>そこで</b>決着をつけてやるぜ！》,Let's settle it there! 》,"#01 PART 熱い夜に雪が降る.ja, #09 PART あの時、俺たちは特別だった.ja"
ふざける,ふざける,"1. to joke, to jest, to kid, to josh<br>2. to make fun of, to laugh at, to play a prank<br>3. to romp, to gambol, to frolic, to frisk, to mess around, to fool around, to screw around<br>4. to neck, to make out",N2,2,<b>ふざけん</b>じゃねえ！,Don't kid yourself!,"#01 PART 熱い夜に雪が降る.ja, #04 PART 愛のマタドール、愛抱夢.ja"
危,き,"1. danger<br>2. Chinese ""rooftop"" constellation (one of the 28 mansions)",Unlabeled,2,<b>危</b>ねえ　ランガ～！,Don't worry Ranga!,"#01 PART 熱い夜に雪が降る.ja, #07 PART つりあわねーんだよ.ja"
舞う,まう,"1. to dance (orig. a whirling dance)<br>2. to flutter about, to revolve",N1,2,この沖縄に<b>舞う</b>　白い雪を…》,The white snow dancing in Okinawa...,"#01 PART 熱い夜に雪が降る.ja, #09 PART あの時、俺たちは特別だった.ja"
白い,しろい,1. white,N5,2,<b>白い</b>目でみられる,seen with white eyes,"#01 PART 熱い夜に雪が降る.ja, #10 PART 言葉のいらないDAP.ja"
プーティン,プーティン,*,Unlabeled,2,<b>プーティン</b>,poutine,"#01 PART 熱い夜に雪が降る.ja, #05 PART 情熱のダンシングNight!.ja"
似る,にる,"1. to resemble, to look like, to be like, to be alike, to be similar, to take after",N4,2,意外と日本人と<b>似</b>てんだなぁ,Surprisingly similar to Japanese people,"#01 PART 熱い夜に雪が降る.ja, #04 PART 愛のマタドール、愛抱夢.ja"
つう,つう,"1. authority, expert, connoisseur, well-informed person<br>2. counter for messages, letters, notes, documents, etc.<br>3. understanding (esp. of male-female relations), tact, insight<br>4. supernatural powers, magical powers",Unlabeled,2,あう… なんっ<b>つう</b>か日本人には,Ah... I guess it's not good for Japanese people.,"#01 PART 熱い夜に雪が降る.ja, #03 PART 望まない勇者.ja"
アメリカ,アメリカ,Amerika,N4,2,ヒュー！　さすが<b>アメリカ</b>帰り！,Huh! As expected of a return to America!,"#02 PART はじめてのサイコー！.ja, #07 PART つりあわねーんだよ.ja"
止まる,とまる,"1. to stop (moving), to come to a stop<br>2. to stop (doing, working, being supplied), to come to a halt, to cease, to be stopped, to be suspended<br>3. to alight, to perch on",N5,2,息が　<b>止まる</b>くらい！,It almost takes my breath away!,"#02 PART はじめてのサイコー！.ja, #11 PART キング VS ザコ.ja"
でく,でく,"1. wooden figure, wooden doll, puppet<br>2. blockhead, good-for-nothing, fool",Unlabeled,2,ええっ　ちょっ！　あああ　あ<b>でっ</b>！,"Yeah, hey! Aaah Ade!",#02 PART はじめてのサイコー！.ja
引ける,ひける,"1. to close, to be over, to break up (e.g. school)<br>2. to lose one's nerve, to feel daunted",Unlabeled,2,今さら<b>引け</b>ねえだろ！,You can't back down now!,"#02 PART はじめてのサイコー！.ja, #05 PART 情熱のダンシングNight!.ja"
重心,じゅうしん,"1. centre of gravity (center)<br>2. centroid, barycenter<br>3. (one's) balance",Unlabeled,2,後ろ足を乗せる前は　<b>重心</b>前で—,Before putting your hind legs on your center of gravity...,#02 PART はじめてのサイコー！.ja
ずれる,ずれる,"1. to slide, to slip off, to get dislocated, to be out of alignment, to get dislodged, to deviate, to shift (position), to be out of sync., to be slightly off, to be off-point",N1,2,重心が後ろに<b>ずれ</b>たからだ,This is because the center of gravity has shifted backwards.,"#02 PART はじめてのサイコー！.ja, #06 PART 湯けむりミステリースケート？!.ja"
基本,きほん,"1. basics, fundamentals, basis, foundation",N3,2,なのに<b>基本</b>を,But the basics,"#02 PART はじめてのサイコー！.ja, #05 PART 情熱のダンシングNight!.ja"
つぶる,つぶる,"1. to close (one's eyes), to shut",Unlabeled,2,目<b>つぶっ</b>てもできるようになれ～,Be able to do it even if you close your eyes,"#02 PART はじめてのサイコー！.ja, #04 PART 愛のマタドール、愛抱夢.ja"
走る,はしる,"1. to run<br>2. to run (of a vehicle), to drive, to travel, to move, to sail<br>3. to rush (to), to dash, to race<br>4. to retreat, to flee, to defect (to)<br>5. to run away, to abscond, to elope<br>6. to flash (of lightning), to streak, to shoot (through; e.g. of pain), to run (through), to flare, to flit (e.g. across one's face), to spread quickly (of news, shock, etc.)<br>7. to go (e.g. bad, to extremes), to become, to turn, to take to (e.g. crime), to get carried away by (e.g. one's emotions), to get involved in, to get wrapped up in<br>8. to run (through; of a road, street, etc.), to extend (e.g. of a mountain range), to stretch, to lie",N5,2,<b>走る</b>みたいに蹴るんだよ,Kick like you run,"#02 PART はじめてのサイコー！.ja, #11 PART キング VS ザコ.ja"
蹴る,ける,"1. to kick<br>2. to refuse, to reject<br>3. to stamp (on the ground), to firmly press one's feet (against something)",N2,2,≪すげぇ　<b>蹴り</b>だ！,≪Amazing kick!,"#02 PART はじめてのサイコー！.ja, #09 PART あの時、俺たちは特別だった.ja"
もしもし,もしもし,1. hello (e.g. on phone)<br>2. excuse me! (when calling out to someone),Unlabeled,2,<b>もしもし</b>？,hello?,"#02 PART はじめてのサイコー！.ja, #06 PART 湯けむりミステリースケート？!.ja"
返せる,返せる,1. I can return it (Auto-translated),Unlabeled,2,≪抜き<b>返せ</b>　スノー！,"≪Take it back, Snow!","#02 PART はじめてのサイコー！.ja, #12 PART 俺たちの無限大!.ja"
毎日,まいにち,1. every day,N5,2,《桜屋敷：<b>毎日</b>が,《Sakura mansion: Every day,"#02 PART はじめてのサイコー！.ja, #09 PART あの時、俺たちは特別だった.ja"
思春,ししゅんき,"1. puberty, adolescence<br>2. Puberty",Unlabeled,2,でも<b>思春</b>期の男の子って,But adolescent boys,"#02 PART はじめてのサイコー！.ja, #08 PART 宿命のトーナメント!.ja"
男の子,おとこのこ,"1. boy, son, baby boy<br>2. young man",N5,2,でも思春期の<b>男の子</b>って,But adolescent boys,"#02 PART はじめてのサイコー！.ja, #08 PART 宿命のトーナメント!.ja"
助ける,たすける,"1. to save, to rescue<br>2. to help, to assist<br>3. to support (financially), to contribute (to), to provide aid<br>4. to facilitate, to stimulate, to promote, to contribute to",N3,2,家計を<b>助け</b>たかったから,Because I wanted to help with the household finances.,#02 PART はじめてのサイコー！.ja
オリバー,オリバー,Oriba,Unlabeled,2,どうする!?　助けて<b>オリバー</b>！》,What should we do!? Help Oliver! 》,"#02 PART はじめてのサイコー！.ja, #08 PART 宿命のトーナメント!.ja"
くっつく,くっつく,"1. to adhere to, to stick to, to cling to<br>2. to keep close to, to go along with<br>3. to get involved with, to be thick with, to become intimate",N2,2,俺は<b>くっつい</b>てるほうが,I'd rather stick together,#02 PART はじめてのサイコー！.ja
なァ,な,"1. don't<br>2. do<br>3. hey, listen, look, say",Unlabeled,2,怖いけど<b>なァ</b>～,It's scary though,#02 PART はじめてのサイコー！.ja
減る,へる,"1. to decrease (in size or number), to diminish, to abate",N3,2,あ～　腹<b>減っ</b>た！,Ah~ I'm hungry!,"#02 PART はじめてのサイコー！.ja, #05 PART 情熱のダンシングNight!.ja"
，,，,1. ， (Auto-translated),Unlabeled,2,Ｈｅｙ<b>，</b>ｓｈａｄｏｗ！,"Hey, shadow!","#02 PART はじめてのサイコー！.ja, #12 PART 俺たちの無限大!.ja"
